1, 698322
2, 728907
4, 703290
8, 707683
16, 670358
32, 699265
64, 706116
128, 1158261
256, 1150910
512, 1143237
1024, 1106496
2048, 1144906
4096, 1165437
8192, 1175474
16384, 1214236
